Theta,Phi
-6.866,-139.470
-6.816,-139.434
-6.715,-139.361
-6.664,-139.324
-6.614,-139.288
-6.563,-139.251
-6.513,-139.215
-6.462,-139.178
-6.412,-139.142
-6.361,-139.105
-6.311,-139.069
-6.260,-139.033
-6.159,-138.960
-6.109,-138.923
-6.058,-138.887
-6.008,-138.851
-5.957,-138.814
-5.906,-138.778
-5.856,-138.741
-5.805,-138.705
-5.755,-138.669
-5.704,-138.633
-5.603,-138.560
-5.552,-138.524
-5.502,-138.487
-5.451,-138.451
-5.401,-138.415
-5.350,-138.378
-5.300,-138.342
-5.249,-138.306
-5.199,-138.269
-5.097,-138.197
-5.047,-138.161
-4.996,-138.124
-4.946,-138.088
-4.895,-138.052
-4.844,-138.016
-4.794,-137.980
-4.743,-137.943
-4.692,-137.907
-4.642,-137.871
-4.541,-137.799
-4.490,-137.762
-4.439,-137.726
-4.389,-137.690
-4.338,-137.654
-4.288,-137.618
-4.237,-137.582
-4.186,-137.546
-4.136,-137.509
-4.085,-137.473
-3.984,-137.401
-3.933,-137.365
-3.882,-137.329
-3.832,-137.292
-3.781,-137.256
-3.731,-137.220
-3.680,-137.184
-3.629,-137.148
-3.579,-137.112
-3.528,-137.076
-3.426,-137.004
-3.376,-136.968
-3.325,-136.932
-3.274,-136.896
-3.224,-136.859
-3.173,-136.824
-3.122,-136.788
-3.072,-136.751
-3.021,-136.715
-2.920,-136.643
-2.869,-136.607
-2.818,-136.571
-2.768,-136.535
-2.717,-136.499
-2.666,-136.463
-2.616,-136.427
-2.565,-136.391
-2.514,-136.355
-2.464,-136.319
-2.362,-136.247
-2.311,-136.211
-2.261,-136.175
-2.210,-136.139
-2.159,-136.103
-2.109,-136.067
-2.058,-136.031
-2.007,-135.995
-1.957,-135.959
-1.906,-135.923
-1.804,-135.851
-1.754,-135.815
-1.703,-135.779
-1.652,-135.743
-1.602,-135.707
-1.551,-135.671
-1.500,-135.635
-1.449,-135.599
-1.399,-135.564
-1.348,-135.528
-1.247,-135.456
-1.196,-135.420
-1.145,-135.384
-1.094,-135.348
-1.044,-135.312
-0.993,-135.276
-0.942,-135.240
-0.891,-135.204
-0.841,-135.168
-0.739,-135.096
-0.689,-135.060
-0.638,-135.024
-0.587,-134.988
-0.536,-134.952
-0.486,-134.916
-0.435,-134.881
-0.384,-134.844
-0.334,-134.809
-0.283,-134.773
-0.181,-134.701
-0.131,-134.665
-0.080,-134.629
-0.029,-134.593
-0.022,-134.557
-0.072,-134.521
-0.123,-134.485
-0.174,-134.449
-0.224,-134.413
-0.275,-134.378
-0.377,-134.306
-0.428,-134.269
-0.478,-134.234
-0.529,-134.198
-0.580,-134.162
-0.630,-134.126
-0.681,-134.090
-0.732,-134.054
-0.783,-134.018
-0.833,-133.982
-0.935,-133.910
-0.986,-133.874
1.036,-133.838
1.087,-133.802
1.138,-133.766
1.188,-133.730
1.239,-133.694
1.290,-133.658
1.341,-133.622
1.442,-133.551
1.493,-133.515
1.543,-133.479
1.594,-133.443
1.645,-133.407
1.696,-133.371
1.746,-133.335
1.797,-133.299
1.848,-133.263
1.898,-133.227
2.000,-133.155
2.051,-133.119
2.101,-133.083
2.152,-133.047
2.203,-133.011
2.253,-132.975
2.304,-132.939
2.355,-132.903
2.406,-132.867
2.456,-132.831
2.558,-132.759
2.608,-132.723
2.659,-132.687
2.710,-132.651
2.761,-132.615
2.811,-132.579
2.862,-132.542
2.963,-132.471
3.014,-132.434
3.065,-132.398
3.115,-132.362
3.166,-132.326
3.217,-132.290
3.268,-132.254
3.318,-132.218
3.369,-132.182
3.470,-132.110
3.521,-132.074
3.571,-132.038
3.622,-132.001
3.673,-131.965
3.724,-131.929
3.774,-131.893
3.825,-131.857
3.876,-131.821
3.977,-131.749
4.028,-131.712
4.078,-131.676
4.129,-131.640
4.179,-131.604
4.230,-131.568
4.281,-131.532
4.331,-131.496
4.382,-131.459
4.433,-131.423
4.534,-131.351
4.585,-131.315
4.635,-131.278
4.686,-131.242
4.736,-131.206
4.787,-131.170
4.838,-131.134
4.888,-131.097
4.939,-131.061
4.990,-131.025
5.091,-130.952
5.141,-130.916
5.192,-130.880
5.243,-130.844
5.293,-130.807
5.344,-130.771
5.394,-130.735
5.445,-130.698
5.496,-130.662
